loc_lat,loc_lon,loc_type,location,us_state,unclear_loc,implausible_assigned_loc
39.96375,-75.59795,user_loc,"West Chester, PA",Pennsylvania,0,0
53.0751,8.80469,user_loc,"Bremen, Deutschland",other,0,0
32.71568,-117.16171,user_loc,"San Diego, CA",California,0,0
34.89992373,-92.4388847,user_loc,location: Right now? Arkansas ,Arkansas,1,0
40.11404657,-89.1586509,user_loc,"Illinois, USA",Illinois,0,0
28.5660449,-81.68864879,user_loc,Florida,Florida,0,0
39.162,-84.45689,user_loc,"Cincinnati, OH",Ohio,0,0
40.75275,-73.93894,user_loc,"Queens, NYC",New York,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
40.11404657,-89.1586509,user_loc,"Illinois, USA",Illinois,0,0
37.37,-122.04,user_loc,"Silicon Valley, California ",California,0,0
35.85812232,-82.70568886,user_loc,MADISON COUNTY NORTH CAROLINA,North Carolina,0,0
32.77822,-96.79512,user_loc,"Dallas, TX",Texas,0,0
42.02669455,-96.09390139,user_loc,"Iowa, yes Iowa. Turn it blue.",Iowa,1,0
36.37410569,-119.27023,user_loc,"California, USA",California,0,0
40.71455,-74.00714,user_loc, New York,New York,0,0
29.42458,-98.49461,user_loc,"San Antonio, Texas",Texas,0,0
49.90547,5.59702,user_loc,Not entirely sure,other,1,0
36.35627096,127.8063959,user_loc,Republic of Korea,other,0,0
9.93601,76.26142,user_loc,"Kochi, Kerala, India",other,0,0
34.23294,-102.4102,user_loc,Earth,Texas,1,1
54.59534,-5.93455,user_loc,"Belfast, Northern Ireland",other,0,0
52.51604,13.37691,user_loc,Berlin,other,0,0
41.92949,-88.7499,user_loc,"DeKalb, IL",Illinois,0,0
41.88425,-87.63245,user_loc,Chicago illinois ,Illinois,0,0
34.23294,-102.4102,user_loc,planet Earth,Texas,1,1
40.4130568,-82.71121519,user_loc,Ohio,Ohio,0,0
40.0596,-82.93941,user_loc,Worldwide,Ohio,1,1
39.39870316,-99.41461919,user_loc,USA,Kansas,0,0
40.11404657,-89.1586509,user_loc,"Illinois, USA",Illinois,0,0
39.39870316,-99.41461919,user_loc,USA,Kansas,0,0
-35.14129,138.49429,user_loc,CountryLife,other,1,0
39.39870316,-99.41461919,user_loc,USA,Kansas,0,0
23.11667,113.25,user_loc,"Guangdong, Guangzhou, China",other,0,0
39.39870316,-99.41461919,user_loc,USA,Kansas,0,0
39.74001,-104.99202,user_loc,"Denver, CO",Colorado,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
39.61334835,-74.728565,user_loc,"New Jersey, USA",New Jersey,0,0
36.06908,-79.79503,user_loc,"Greensboro, NC",North Carolina,0,0
40.64948,-74.39658,user_loc,"Scotch Plains, NJ",New Jersey,0,0
-27.45887,152.99436,user_loc,The Dirty South-GA,other,1,1
37.76071,-122.43428,user_loc,Midnight Sun.,California,1,1
34.89992373,-92.4388847,user_loc,"Arkansas, USA",Arkansas,0,0
35.8430027,-86.34305118,user_loc,"Tennessee, USA",Tennessee,0,0
36.37410569,-119.27023,user_loc,"California, USA",California,0,0
35.62541,-120.69129,user_loc,"paso robles ,calif.",California,0,0
34.66232676,-86.06452776,user_loc,Alabama boy in PA,Alabama,1,1
38.769833,-121.312069,bound_box_coords,box_coords,California,1,1
31.46273305,-99.33305009,user_loc,Texas,Texas,0,0
28.5660449,-81.68864879,user_loc,"Florida, USA",Florida,0,0
39.52766,-119.81353,user_loc,"Reno, NV",Nevada,0,0
36.0632,-94.15791,user_loc,Fayetteville ar,Arkansas,0,0
30.79601,-96.3712,user_loc,Great Republic ofTexas❤️,Texas,0,0
55.912525,21.05925616,user_loc,216,other,1,0
35.47203,-97.52107,user_loc,Oklahoma City,Oklahoma,0,0
50.64068294,4.661070427,user_loc,Belgium,other,0,0
40.89651165,-77.83875078,user_loc,"Pennsylvania, USA",Pennsylvania,0,0
39.91980696,-86.28179349,user_loc,Indiana,Indiana,0,0
36.5673484,103.930027,user_loc,China could have contained COV,other,1,0
31.46273305,-99.33305009,user_loc,Texas,Texas,0,0
53.40838661,-1.969559544,user_loc,United Kingdom,other,0,0
31.32735,-89.29071,user_loc,"Hattiesburg, MS",Mississippi,0,0
37.8615,-87.06115,user_loc,United States Of Africa,Kentucky,1,1
-22.91216,-43.17501,user_loc,"Rio de Janeiro, Brasil",other,0,0
34.23294,-102.4102,user_loc,Earth,Texas,1,0
36.30486,-86.62021,user_loc,Hendersonville TN,Tennessee,0,0
47.46188,-113.38229,user_loc,Up some creek in MT,Montana,1,0
42.90167,43.72,user_loc,Russian detox gulag,other,1,0
34.02656,-4.97557,user_loc,"SoCo, MO",other,1,1
6.4547,3.38876,user_loc,"Lagos, Nigeria",other,0,0
53.41005,-2.9784,user_loc,"Liverpool, England, UK",other,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
30.18584617,-91.42642,user_loc,Louisiana,Louisiana,0,0
40.71455,-74.00714,user_loc,"New York, NY",New York,0,0
53.14709,0.34561,user_loc,Northern CO,other,0,0
41.90322,12.49565,user_loc,Rome,other,0,0
26.13934,-81.79583,user_loc,"Naples, Fl",Florida,0,0
49.83615,1.71776,user_loc,"Vieux-Rouen-sur-Bresle, France",other,0,0
18.2226065,-66.46895343,user_loc,PR USA,Puerto Rico,0,0
45.52345,-122.67621,user_loc,Portlandia,Oregon,0,0
33.74831,-84.39111,user_loc,Atlanta,Georgia,0,0
47.38079036,1.737584632,user_loc,Paris & Romorantin ,other,1,0
39.74001,-104.99202,user_loc,"Denver, CO",Colorado,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
39.39870316,-99.41461919,user_loc,United States of America,Kansas,0,0
33.66389,-117.90239,user_loc,"Costa Mesa, California",California,0,0
42.35866,-71.05674,user_loc,"Boston, MA",Massachusetts,0,0
33.74831,-84.39111,user_loc,Atlanta,Georgia,0,0
31.40556,73.8625,user_loc,Dude,other,1,0
44.38899539,-114.6594469,user_loc,Idaho,Idaho,0,0
-21.30779132,165.7018418,user_loc,NC,other,0,0
32.7356,-97.10772,user_loc,"Arlington, TX God Bless Texas ",Texas,1,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
34.23294,-102.4102,user_loc,Earth,Texas,1,1
47.61392,-122.31642,user_loc,Atop the Wall of Sound,Washington,1,1
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
39.39870316,-99.41461919,user_loc,United States of America,Kansas,0,0
42.83333,12.83333,user_loc,Italy,other,0,0
46.07323,-100.54688,user_loc,North America,North Dakota,0,0
19.38333,-81.41667,user_loc,in a handbasket going to Hell,other,1,0
39.39870316,-99.41461919,user_loc,America,Kansas,0,0
39.68233,-76.60219,user_loc,In Trump's Nightmares,Maryland,1,1
29.680892,-95.681932,bound_box_coords,box_coords,Texas,1,1
36.59586,-89.52827,user_loc,"New Madrid, MO",Missouri,0,0
41.88425,-87.63245,user_loc, IN-An hour from Chicago,Illinois,1,1
31.11689,-97.72737,user_loc,"Killeen, TX",Texas,0,0
40.76031,-111.88822,user_loc,"Salt Lake City, Utah, USA",Utah,0,0
41.9683,-90.38353,user_loc,Podunkville,Iowa,1,1
36.75528,-76.05962,user_loc,"Virginia Beach, VA",Virginia,0,0
43.74522,-75.72315,user_loc,Down In the Boondocks,New York,1,1
38.36798275,-92.47774662,user_loc,"Missouri, USA",Missouri,0,0
31.46273305,-99.33305009,user_loc,"Texas, USA",Texas,0,0
-25.70993157,134.4840312,user_loc,Australia,other,0,0
37.95373,-121.29046,user_loc,Stockton,California,0,0
27.63885,-80.39396,user_loc,Vero Beach FL,Florida,0,0
46.80536,-100.77969,user_loc,"Bismarck, ND",North Dakota,0,0
32.71568,-117.16171,user_loc,"San Diego California, USA",California,0,0
53.44195,-2.93057,user_loc,Chicagoland,other,0,0
34.05361,-118.2455,user_loc,"Los Angeles, CA",California,0,0
33.74831,-84.39111,user_loc,Atlanta,Georgia,0,0
34.23294,-102.4102,user_loc,Planet Earth,Texas,1,1
35.22286,-80.83796,user_loc,"charlotte,n.c.",North Carolina,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
27.94653,-82.45927,user_loc,"Tampa, Florida",Florida,0,0
52.98367224,-7.356096947,user_loc,"Laois, Ireland",other,0,0
33.85603,-111.31019,user_loc,"Tonto Basin,AZ",Arizona,0,0
47.41125184,-120.5562632,user_loc,WA,Washington,0,0
52.26636,6.78972,user_loc,"Hengelo, Nederland",other,0,0
40.88718,-74.01921,user_loc,"Teaneck, NJ",New Jersey,0,0
30.59720983,-85.37693683,user_loc,"Somewhere on A1A, Florida, USA",Florida,1,0
21.5034862,-158.0198579,user_loc,a jungle valley in Hawaii,Hawaii,1,0
28.5660449,-81.68864879,user_loc,Florida,Florida,0,0
44.97902,-93.26494,user_loc,Minneapolis,Minnesota,0,0
46.34885577,-94.20079058,user_loc,"Minnesota, USA",Minnesota,0,0
40.79875631,-73.95366805,user_loc,"Central Harlem, Manhattan",New York,0,0
38.36798275,-92.47774662,user_loc,"Missouri, USA",Missouri,0,0
28.5660449,-81.68864879,user_loc,"Florida, USA",Florida,0,0
32.76654254,-86.84028686,user_loc,"Alabama, USA",Alabama,0,0
26.79854,-80.06442,user_loc,Lake Park,Florida,0,0
38.97001,-112.32372,user_loc,"fillmore, utah",Utah,0,0
54.36202372,-5.938384025,user_loc,Breathing down your timeline.,other,1,0
34.05361,-118.2455,user_loc,"Los Angeles, CA",California,0,0
28.5660449,-81.68864879,user_loc,"Florida, USA",Florida,0,0
62,10,user_loc,Norway,other,0,0
41.88425,-87.63245,user_loc,"Chicago, IL",Illinois,0,0
33.78241,-117.22833,user_loc,"Perris,California",California,0,0
34.23294,-102.4102,user_loc,Planet Earth,Texas,1,1
48.69096,9.14062,user_loc,Europe,other,0,0
44.13592,-79.3088,user_loc,Mount Albert Canada,other,0,0
28.5660449,-81.68864879,user_loc,Florida ,Florida,0,0
33.74831,-84.39111,user_loc,"Atlanta, GA",Georgia,0,0
-25.70993157,134.4840312,user_loc,Australia,other,0,0
38.89037,-77.03196,user_loc,"Washington, USA",District of Columbia,0,0
33.37049,-112.58973,user_loc,#DaytonStrong Buckeye... ,Arizona,1,1
37.33865,-121.88542,user_loc,"San Jose, CA",California,0,0
40.69245,-73.99036,user_loc,"Brooklyn, NY",New York,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
36.16784,-86.77816,user_loc,nashville,Tennessee,0,0
37.0324,-100.9268,user_loc,Liberal heads rent free  ,Kansas,1,1
48.85717,2.3414,user_loc,"Paris, France",other,0,0
41.88425,-87.63245,user_loc,"Chicago, Illinois",Illinois,0,0
21.43954258,-157.9436319,user_loc,"Hawaii, USA",Hawaii,0,0
32.64832455,-83.4445344,user_loc,"Georgia, USA",Georgia,0,0
36.37410569,-119.27023,user_loc,"California, USA",California,0,0
39.39870316,-99.41461919,user_loc,USA,Kansas,0,0
-32.7759936,151.6042407,user_loc,Pacific NW,other,0,0
40.69787,-80.01199,user_loc,Mars  ,Pennsylvania,1,1
32.77822,-96.79512,user_loc,"Dallas, TX",Texas,0,0
30.26759,-97.74299,user_loc,"Austin, TX",Texas,0,0
33.70322224,-117.7605949,user_loc,"Orange County, CA",California,0,0
40.75275,-73.93894,user_loc,"Queens, New York City",New York,0,0
34.29301645,-111.664754,user_loc,"Arizona, USA",Arizona,0,0
30.55341,-91.03894,user_loc,Central Louisiana,Louisiana,0,0
36.37410569,-119.27023,user_loc,"California, USA",California,0,0
34.23294,-102.4102,user_loc,Earth,Texas,1,1
39.96199,-83.00275,user_loc,"Columbus, OH",Ohio,0,0
60.10867,-113.64258,user_loc,Canada,other,0,0
29.76078,-95.36952,user_loc,"Houston, TX",Texas,0,0
23.37937974,79.44332655,user_loc,Bharat,other,0,0
40.86087,-87.74309,user_loc,"Freedomville, USA",Illinois,1,1
32.76654254,-86.84028686,user_loc,Alabama,Alabama,0,0
42.0746981,-93.49997241,user_loc,United State of Iowa,Iowa,0,0
34.41387,-118.55121,user_loc,"Santa Clarita, CA",California,0,0
35.55403,-92.23125,user_loc,"Whispering Springs, AR",Arkansas,0,0
39.39870316,-99.41461919,user_loc,United States,Kansas,0,0
40.35101,-74.65474,user_loc,Princeton,New Jersey,0,0
45.76663995,-61.63183,user_loc,"Nova Scotia, Canada",other,0,0
48.85717,2.3414,user_loc,"Paris, France",other,0,0
38.93804506,-74.96514491,user_loc,Central NJ,other,0,0
26.12388,-80.14357,user_loc,"Fort Lauderdale, FL",Florida,0,0
53.13239676,-1.614775285,user_loc,Derbyshire UK,other,0,0
18.67086,73.90417,user_loc,God's Country,other,1,0
26.7144,-80.05329,user_loc,"West Palm Beach, Florida",Florida,0,0
31.46273305,-99.33305009,user_loc,Texas,Texas,0,0
53.47959,-2.24874,user_loc,Manchester,other,0,0
35.53934434,-79.18541791,user_loc,"North Carolina, USA",North Carolina,0,0
32.64832455,-83.4445344,user_loc,"Georgia, USA",Georgia,0,0
41.50473,-81.69074,user_loc,"Cleveland, OH",Ohio,0,0
30.70347,76.69161,user_loc,"Mohali, India",other,0,0
-37.80582,144.97986,user_loc,to the left,other,1,0
35.53934434,-79.18541791,user_loc,"North Carolina, USA",North Carolina,0,0
41.88425,-87.63245,user_loc,"chicago, illinois",Illinois,0,0
24.396308,-87.634643,bound_box_coords,box_coords,other,1,0
23.37937974,79.44332655,user_loc,India,other,0,0
31.46273305,-99.33305009,user_loc,Texas,Texas,0,0
35.53934434,-79.18541791,user_loc,"North Carolina, USA",North Carolina,0,0
28.5660449,-81.68864879,user_loc,Florida,Florida,0,0
